pillar,image_type,title,output_filename,dimensions,composition,scene_prompt,palette
Critical Infrastructure,Hero,Environmental Compliance,solution-environmental-compliance.png,1920x1080,,"Environmental monitoring station in natural landscape with weather instruments, sensor arrays, and solar panel arrays. River or wetland ecosystem visible in background with morning mist rising from water. Lush green vegetation surrounding technology, illustrating nature-technology integration.","Forest green vegetation, cool morning mist whites, warm golden solar panel glow, water reflection cyans, earth browns"
Networks,Hero,Fleet Health,solution-fleet-health.png,1920x1080,,Spacecraft integration facility clean room with satellite or spacecraft hardware in various assembly states. Engineers in white clean suits performing precision work with no visible faces. Bright clinical LED lighting revealing complex mechanical and electronic subsystems.,"Clean whites, cool clinical blues, intelligence navy shadow areas, subtle cyber emerald from monitoring displays"
Cross-Pillar,Hero,Fleet Logistics,solution-fleet-logistics.png,1920x1080,,"Fleet of commercial trucks organized at logistics hub at dawn with loading docks, synchronized cargo transfer operations, and organized vehicle parking. Elevated perspective revealing systematic arrangements, GPS antennas visible on truck cabs. Morning mist with warm amber light breaking through.","Warm golden hour amber, cool morning mist whites, dark truck silhouettes, forest green ground"
Energy,Hero,Grid Operations,solution-grid-operations.png,1920x1080,,"High-voltage electrical substation at twilight with transformer banks, ceramic insulators, and power lines radiating outward. Deep blue sky framing massive transmission tower geometry. Low-angle perspective emphasizing scale and technical complexity of power infrastructure.","Intelligence navy sky, industrial grays, safety amber warning lights, cool blue shadows, steel metallic accents"
Networks,Hero,Network Operations,solution-network-operations.png,1920x1080,,Telecommunications tower cluster on elevated hilltop with multiple parabolic antennas and microwave dishes pointed skyward. City lights visible in valley below against dramatic dusk sky. Warm-to-cool color transition from golden hour to deepening twilight.,"Warm golden yellows transitioning to intelligence navy, cyber emerald reflections, city light amber, cool upper atmosphere"
Finance,Hero,Hero — NPA Early Warning Intelligence,solution-npa-early-warning.png,1920x1080,"Subject right, text space left (60% dark overlay applied in CSS)",Abstract early warning visualization — a dark landscape of smooth data terrain with subtle amber warning signals emerging from below the surface. Teal baseline grid. Amber nodes pulse upward through the terrain before they break the surface — representing early detection of risk before it materializes. Deep navy atmosphere above.,Intelligence Navy `#0A1128` atmosphere; Cyber Emerald `#00D1B2` baseline grid; Safety Amber `#F4A261` warning signals (primary focus); Rich Charcoal `#1A1A1A` terrain
Cross-Pillar,Hero,Operational Intelligence,solution-operational-intelligence.png,1920x1080,,Network operations center with curved display wall array showing abstract operational dashboards and real-time data streams. Darkened control room with cool teal glow from multiple screens illuminating workstations. Multiple operator positions visible with subtle ambient security lighting.,"Intelligence navy base, cyber emerald glow, deep blacks, cool teal accent from displays"
National Security,Hero,Physical Security,solution-physical-security.png,1920x1080,,"Critical infrastructure facility perimeter at night with security fencing, motion-activated lighting creating dramatic pools of illumination, surveillance cameras mounted on poles, and security vehicle patrol visible in distance. Contrast between bright security zones and deep shadows.","Intelligence navy night sky, safety amber security lighting, cool security blue, dark forest green fence lines"
Energy,Hero,Pipeline Security,solution-pipeline-security.png,1920x1080,,Long pipeline corridor stretching toward distant horizon through rugged terrain. Desert or mountainous landscape under golden hour light with elevated monitoring stations positioned at intervals. Aerial perspective revealing linear infrastructure spine with long shadows cast across earth.,"Warm desert golds, deep earth tones, safety amber highlights, cool mountain shadows"
Critical Infrastructure,Hero,Port Operations,solution-port-operations.png,1920x1080,,"Container port from elevated vantage showing multiple ships berthed at terminals with gantry cranes mid-operation, organized truck queues, rail connections, and orchestrated cargo movement. Late afternoon light illuminating synchronized logistics operations across maritime facility.","Deep water blues, warm industrial ambers, safety lighting, cool crane shadows, forest green container accents"
Finance,Hero,Hero — Regulatory Compliance Intelligence,solution-regulatory-compliance.png,1920x1080,"Subject right, text space left (60% dark overlay applied in CSS)","Architectural interior of a modern regulatory or government building — clean concrete and glass with precise geometric lines. Deep teal accent lighting along corridors. Warm amber light from a central atrium suggesting transparency and openness. Long perspective shot emphasizing order, structure, and auditability.",Rich Charcoal `#1A1A1A` concrete tones; Cyber Emerald `#00D1B2` accent lighting; Safety Amber `#F4A261` atrium warmth; Intelligence Navy `#0A1128` shadows
Networks,Hero,Satellite Revenue,solution-satellite-revenue.png,1920x1080,,Satellite operations floor with operator workstations monitoring abstract capacity dashboards and revenue metrics. Earth globe visualization spinning on primary display showing coverage areas. Cool blue-teal lighting from multiple monitor arrays creating immersive data environment.,"Intelligence navy background, cyber emerald dominant glow, cool teal accents, deep blacks for contrast"
Networks,Hero,Space Domain,solution-space-domain.png,1920x1080,,Space surveillance telescope or radar facility under star-filled night sky with dome structure partially open. Satellite light trails creating long-exposure streaks across the heavens. Remote elevated mountain or remote location setting emphasizing isolation and focused vigilance.,"Deep intelligence navy starfield, cool white star trails, subtle green ground reflections, dark dome silhouette"
Networks,Hero,Teleport Operations,solution-teleport-operations.png,1920x1080,,Satellite ground station with rows of large parabolic antennas pointing upward in desert or arid landscape. Pre-dawn light with visible stars overhead and first hints of horizon color. Precision ground-to-space infrastructure conveying constant cosmic surveillance.,"Deep intelligence navy with starfield, cool pre-dawn blues, subtle amber horizon glow, white antenna surfaces"
Critical Infrastructure,Hero,Water Systems,solution-water-systems.png,1920x1080,,"Modern water treatment plant with series of settling basins, filtration stages, and pumping station infrastructure. Water flowing through treatment stages with visible stages of purification. Late afternoon light catching on water surfaces creating technical precision atmosphere.","Clean water cyans, industrial gray structures, safety amber pump accents, warm afternoon gold, forest green vegetation borders"
Critical Infrastructure,Proof Point,Municipal Operations Center,proof-cities.png,1200x750,,"Interior of a modern municipal operations center. Large display wall showing city maps and operational overlays in abstract form. Multiple workstations and monitoring stations. Evening light streaming through windows creating warm/cool contrast. Conveys 24/7 continuous operations. Clean, professional government facility aesthetic. Centered composition with depth layering from foreground to display.","Warm overhead lighting, cool blue display light, charcoal furniture, city-grid abstract graphics"
National Security,Proof Point,Defense Perimeter Security,proof-defense.png,1200x750,,"Military installation perimeter at twilight. Security fence line with sensor arrays mounted on posts—cameras, radar dishes, monitoring equipment. Wide open controlled terrain stretching beyond the fence. Vast perimeter monitored by integrated technology systems. Security lighting pools along the fence line create pattern and rhythm. Centered composition emphasizing scale and technological sophistication.","Intelligence navy sky, amber security lighting, metallic sensor grays, deep charcoal earth"
Energy,Proof Point,Energy Infrastructure Response,proof-energy.png,1200x750,,"Utility substation at dawn following a storm. Work crews visible conducting restoration operations (no faces shown). Power lines, wet ground reflecting amber work lights. Multiple substations visible in the hazy distance suggesting scale and grid complexity. Storm aftermath atmosphere with clearing skies. Centered composition suitable for standalone display.","Amber work lights, wet metallic grays, storm-clearing sky blues, dark wet earth"
Energy,Proof Point,Advanced Manufacturing Operations,proof-industrial.png,1200x750,,Modern manufacturing floor with active production line. Robotic arms and automated systems in operation. Conveyor systems with product flow. Sensor arrays and monitoring equipment positioned along the line. Warm industrial lighting highlighting the precision machinery. Scene conveys operational excellence and technological sophistication. Centered composition showing production line rhythm and scale.,"Warm industrial golds and ambers, metallic grays, dark charcoal floor, data-point accent blues"
Critical Infrastructure,Proof Point,Telecommunications Network Operations,proof-infrastructure.png,1200x750,,"Telecommunications network operations center. Multiple monitoring stations with displays. Large central display wall showing abstract network topology and connectivity visualization. Through a glass partition wall, rows of server racks and fiber optic infrastructure visible. Cool blue display lighting contrasts with warm overhead lighting. Conveys 24/7 network monitoring and uptime assurance. Centered composition layering human operations with technological infrastructure.","Cool blue display light, warm overhead amber, server-rack metallic grays, network-grid abstract graphics"
Shared,Shared,Call-to-Action Background,cta.jpg,1920x1080,,"Abstract minimal dark background, slightly warmer tone than bg.jpg. Deep forest green and dark teal hints blend into charcoal foundation. Gentle gradient originating from upper-left suggesting a soft light source. Faint geographic contour texture suggesting topography. Extremely subtle. Designed specifically to support white text with 75% overlay. Moody and minimal. Works at any crop.","Forest green, dark teal, charcoal, intelligence navy undertones"
Shared,Shared,Dark Section Background,bg.jpg,1920x1080,,"Abstract minimal dark background. Deep charcoal-to-navy gradient flowing subtly across the canvas. Faint topographic contour texture and data-grid pattern woven throughout—barely visible, suggesting geospatial data and connectivity. Extremely subtle node-and-line network pattern layered in. Not busy. Moody and understated. Works as flexible section background for text overlay at any crop.","Intelligence navy, charcoal, subtle forest green undertones"
